source_system,client_id,snapshot_ts,po_internal_id,po_number,vendor_id,inbound_shipment_number,inbound_shipment_status,item_internal_id,quantity_inbound,expected_shipping_date,actual_shipping_date,expected_delivery_date,actual_delivery_date,available_for_sale_date,location_id
netsuite,vonderk,2026-07-22 09:54,364485,OC_ME-253,8444,INBSHIP249,Para enviar,12655,150,,,,,,
netsuite,vonderk,2026-07-22 09:54,364485,OC_ME-253,8444,INBSHIP249,Para enviar,12656,150,,,,,,
netsuite,vonderk,2026-07-22 09:54,364485,OC_ME-253,8444,INBSHIP249,Para enviar,12657,150,,,,,,
netsuite,vonderk,2026-07-22 09:54,364485,OC_ME-253,8444,INBSHIP249,Para enviar,12643,200,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,11901,500,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12632,50,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12634,50,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12633,50,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12635,50,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,9478,400,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12626,10,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12627,10,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12665,150,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12331,100,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,11154,50,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12488,250,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12352,100,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12330,30,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,11147,90,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12336,50,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12337,220,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,11145,80,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12334,250,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,11146,110,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12335,350,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,9956,50,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12323,170,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12324,150,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12341,20,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,12351,60,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,3719,150,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,4423,60,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,9142,100,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,4442,100,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,3739,200,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,4458,200,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,10383,150,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,11883,100,,,,,,
netsuite,vonderk,2026-07-22 09:54,364283,OC_ME-252,8444,INBSHIP248,Para enviar,11900,400,,,,,,
netsuite,vonderk,2026-07-22 09:54,338176,OC_ME-240,8444,INBSHIP247,Para enviar,9872,150,,,,,,
netsuite,vonderk,2026-07-22 09:54,338176,OC_ME-240,8444,INBSHIP247,Para enviar,9498,900,,,,,,
netsuite,vonderk,2026-07-22 09:54,338176,OC_ME-240,8444,INBSHIP247,Para enviar,9497,700,,,,,,
netsuite,vonderk,2026-07-22 09:54,338176,OC_ME-240,8444,INBSHIP247,Para enviar,9496,300,,,,,,
netsuite,vonderk,2026-07-22 09:54,338176,OC_ME-240,8444,INBSHIP247,Para enviar,10417,600,,,,,,
netsuite,vonderk,2026-07-22 09:54,338176,OC_ME-240,8444,INBSHIP247,Para enviar,9580,400,,,,,,
netsuite,vonderk,2026-07-22 09:54,338176,OC_ME-240,8444,INBSHIP247,Para enviar,9841,360,,,,,,
netsuite,vonderk,2026-07-22 09:54,338176,OC_ME-240,8444,INBSHIP247,Para enviar,9871,90,,,,,,
netsuite,vonderk,2026-07-22 09:54,338176,OC_ME-240,8444,INBSHIP247,Para enviar,9499,600,,,,,,
netsuite,vonderk,2026-07-22 09:54,362792,OC_ME-250,8444,INBSHIP245,Para enviar,9720,4000,,,,,,
netsuite,vonderk,2026-07-22 09:54,362792,OC_ME-250,8444,INBSHIP245,Para enviar,12661,2000,,,,,,
