"source_system;client_id;snapshot_ts;invoice_internal_id;customer_id;document_number;invoice_date;due_date;posting_period;document_type;document_status; currency_id;exchange_rate;subsidiary_id;payment_terms;amount_total;amount_tax;amount_net;amount_paid;open_balance;last_modified_ts"
"netsuite;vonderk;2026-07-20 14:19;362958;3937;FC A-00007-00048947;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;451390.50;78340.50;373050;.00;451390.50; "
"netsuite;vonderk;2026-07-20 14:19;362959;3710;FC A-00007-00048948;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;1550967.90;268272.90;1282695;.00;1550967.90; "
"netsuite;vonderk;2026-07-20 14:19;363060;3941;FC A-00007-00048949;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;1428677.25;247952.25;1180725;.00;1428677.25; "
"netsuite;vonderk;2026-07-20 14:19;363075;14043;FC A-00007-00048950;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;549493.20;101293.20;448200;.00;549493.20; "
"netsuite;vonderk;2026-07-20 14:19;363077;3694;FC A-00007-00048951;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;3978923.10;624563.10;3354360;.00;3978923.10; "
"netsuite;vonderk;2026-07-20 14:19;363081;4075;FC A-00007-00048952;20/07/2026;18/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;1351172.55;208142.55;1143030;.00;1351172.55; "
"netsuite;vonderk;2026-07-20 14:19;363084;4075;FC A-00007-00048953;20/07/2026;18/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;590706.45;97911.45;492795;.00;590706.45; "
"netsuite;vonderk;2026-07-20 14:19;363085;4157;FC A-00007-00048954;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;6705874.80;1172974.80;5532900;.00;6705874.80; "
"netsuite;vonderk;2026-07-20 14:19;363088;3773;FC A-00007-00048955;20/07/2026;27/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 7 DIAS;1043053.20;215233.20;827820;.00;1043053.20; "
"netsuite;vonderk;2026-07-20 14:19;363090;3807;FC A-00007-00048956;20/07/2026;19/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;1814400.00;374400.00;1440000;.00;1814400.00; "
