"source_system;client_id;snapshot_ts;item_internal_id;item_name;location;subsidiary;stock_status;quantity_on_hand;quantity_available;average_cost"
"netsuite;vonderk;2026-07-20 14:19;7496;CS-ASD;Showroom Mentrau;MENTRAU;Buen estado Otros;3;3;50237.14"
"netsuite;vonderk;2026-07-20 14:19;7596;CS-ASD LR;Almacén General Mentrau;MENTRAU;Good;24;24;57921.90"
"netsuite;vonderk;2026-07-20 14:19;7596;CS-ASD LR;Almacén General Mentrau;MENTRAU;Good;1;1;57921.90"
"netsuite;vonderk;2026-07-20 14:19;7596;CS-ASD LR;Producción Mentrau;MENTRAU;En inspección;1;1;57921.90"
"netsuite;vonderk;2026-07-20 14:19;7596;CS-ASD LR;Almacén General Mentrau;MENTRAU;Dañado;1;1;57921.90"
"netsuite;vonderk;2026-07-20 14:19;7596;CS-ASD LR;Almacen Mentrau Exento;MENTRAU;Buen estado PT;2;2;57921.90"
"netsuite;vonderk;2026-07-20 14:19;7596;CS-ASD LR;Showroom Mentrau;MENTRAU;Buen estado Otros;13;13;57921.90"
"netsuite;vonderk;2026-07-20 14:19;12392;CS-ASD PRO;Almacen Mentrau Exento;MENTRAU;Good;1;1;52143.84"
"netsuite;vonderk;2026-07-20 14:19;12392;CS-ASD PRO;Almacén General Mentrau;MENTRAU;Good;45;45;52143.84"
"netsuite;vonderk;2026-07-20 14:19;12392;CS-ASD PRO;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1;1;52143.84"
"netsuite;vonderk;2026-07-20 14:19;12392;CS-ASD PRO;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;52143.84"
"netsuite;vonderk;2026-07-20 14:19;7696;CS-ASR;Almacén General Mentrau;MENTRAU;Good;18;18;53768.96"
"netsuite;vonderk;2026-07-20 14:19;7696;CS-ASR;Producción Mentrau;MENTRAU;En inspección;1;1;53768.96"
"netsuite;vonderk;2026-07-20 14:19;7696;CS-ASR;Producción Mentrau;MENTRAU;En inspección;1;1;53768.96"
"netsuite;vonderk;2026-07-20 14:19;7696;CS-ASR;Showroom Mentrau;MENTRAU;Buen estado Otros;3;3;53768.96"
"netsuite;vonderk;2026-07-20 14:19;8371;CS-CASAROLLO;Almacén General Mentrau;MENTRAU;Buen estado Otros;1;1;138155.17"
"netsuite;vonderk;2026-07-20 14:19;11091;CS-CASDMX;Almacén General Mentrau;MENTRAU;Good;2;2;109.61"
"netsuite;vonderk;2026-07-20 14:19;8372;CS-CEDRPLR;Almacén General Mentrau;MENTRAU;Good;7;7;171378.67"
"netsuite;vonderk;2026-07-20 14:19;8373;CS-CEFL;Almacén General Mentrau;MENTRAU;Good;12;12;138142.99"
"netsuite;vonderk;2026-07-20 14:19;8373;CS-CEFL;Almacén General Mentrau;MENTRAU;Good;1;1;138142.99"
"netsuite;vonderk;2026-07-20 14:19;8374;CS-CEFL HYT BASE;Almacén General Mentrau;MENTRAU;Good;1;1;6454.71"
"netsuite;vonderk;2026-07-20 14:19;8374;CS-CEFL HYT BASE;Almacén General Mentrau;MENTRAU;Good;294;294;6454.71"
"netsuite;vonderk;2026-07-20 14:19;8374;CS-CEFL HYT BASE;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1;1;6454.71"
"netsuite;vonderk;2026-07-20 14:19;8375;CS-CEFL HYT SENSOR;Almacén General Mentrau;MENTRAU;Good;39;39;73133.09"
"netsuite;vonderk;2026-07-20 14:19;8375;CS-CEFL HYT SENSOR;Almacén General Mentrau;MENTRAU;Good;1;1;73133.09"
"netsuite;vonderk;2026-07-20 14:19;8375;CS-CEFL HYT SENSOR;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1;1;73133.09"
"netsuite;vonderk;2026-07-20 14:19;8376;CS-CESO;Almacén General Mentrau;MENTRAU;Good;6;6;9000.06"
"netsuite;vonderk;2026-07-20 14:19;8376;CS-CESO;Almacén General Mentrau;MENTRAU;Good;1;1;9000.06"
"netsuite;vonderk;2026-07-20 14:19;8377;CS-CGW-001 PSU-GATEWAY CASAMBI;Almacén General Mentrau;MENTRAU;Good;19;19;463679.65"
"netsuite;vonderk;2026-07-20 14:19;8377;CS-CGW-001 PSU-GATEWAY CASAMBI;Almacen Mentrau Exento;MENTRAU;Good;1;1;463679.65"
"netsuite;vonderk;2026-07-20 14:19;8377;CS-CGW-001 PSU-GATEWAY CASAMBI;Showroom Mentrau;MENTRAU;Buen estado Otros;1;1;463679.65"
"netsuite;vonderk;2026-07-20 14:19;8378;CS-DCS;Almacén General Mentrau;MENTRAU;Good;9;9;50127.53"
"netsuite;vonderk;2026-07-20 14:19;8378;CS-DCS;Almacen Mentrau Exento;MENTRAU;Good;1;1;50127.53"
"netsuite;vonderk;2026-07-20 14:19;8378;CS-DCS;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1;1;50127.53"
"netsuite;vonderk;2026-07-20 14:19;8378;CS-DCS;Showroom Mentrau;MENTRAU;Buen estado Otros;1;1;50127.53"
"netsuite;vonderk;2026-07-20 14:19;12136;CS-DV-15W-100-700-1CH;Almacén General Mentrau;MENTRAU;Good;1;1;46450.215"
"netsuite;vonderk;2026-07-20 14:19;12136;CS-DV-15W-100-700-1CH;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;46450.215"
"netsuite;vonderk;2026-07-20 14:19;12136;CS-DV-15W-100-700-1CH;Almacen Mentrau Exento;MENTRAU;Buen estado PT;2;2;46450.215"
"netsuite;vonderk;2026-07-20 14:19;12134;CS-DV-25W-250-700-1CH;Almacén General Mentrau;MENTRAU;Good;49;49;44039.83818182"
