source_system;client_id;snapshot_ts;po_internal_id;po_number;vendor_id;inbound_shipment_number;inbound_shipment_status;item_internal_id;quantity_inbound;expected_shipping_date;actual_shipping_date;expected_delivery_date;actual_delivery_date;available_for_sale_date;location_id
netsuite;vonderk;2026-06-08 15:41;312796;OC_ME-219;8444;INBSHIP210;Para enviar;10094;50;;;;;;
netsuite;vonderk;2026-06-08 15:41;312796;OC_ME-219;8444;INBSHIP210;Para enviar;10097;100;;;;;;
netsuite;vonderk;2026-06-08 15:41;312796;OC_ME-219;8444;INBSHIP210;Para enviar;10096;250;;;;;;
netsuite;vonderk;2026-06-08 15:41;312796;OC_ME-219;8444;INBSHIP210;Para enviar;10095;500;;;;;;
netsuite;vonderk;2026-06-08 15:41;312796;OC_ME-219;8444;INBSHIP210;Para enviar;9888;180;;;;;;
netsuite;vonderk;2026-06-08 15:41;312796;OC_ME-219;8444;INBSHIP210;Para enviar;9730;250;;;;;;
netsuite;vonderk;2026-06-08 15:41;312533;OC_ME-218;9866;INBSHIP209;Para enviar;9498;300;;;;;;
netsuite;vonderk;2026-06-08 15:41;312533;OC_ME-218;9866;INBSHIP209;Para enviar;12549;500;;;;;;
netsuite;vonderk;2026-06-08 15:41;312533;OC_ME-218;9866;INBSHIP209;Para enviar;9650;500;;;;;;
netsuite;vonderk;2026-06-08 15:41;312533;OC_ME-218;9866;INBSHIP209;Para enviar;9649;500;;;;;;
netsuite;vonderk;2026-06-08 15:41;312533;OC_ME-218;9866;INBSHIP209;Para enviar;9499;300;;;;;;
netsuite;vonderk;2026-06-08 15:41;312533;OC_ME-218;9866;INBSHIP209;Para enviar;9495;600;;;;;;
netsuite;vonderk;2026-06-08 15:41;312533;OC_ME-218;9866;INBSHIP209;Para enviar;12548;800;;;;;;
netsuite;vonderk;2026-06-08 15:41;312533;OC_ME-218;9866;INBSHIP209;Para enviar;9497;600;;;;;;
netsuite;vonderk;2026-06-08 15:41;312533;OC_ME-218;9866;INBSHIP209;Para enviar;9496;300;;;;;;
netsuite;vonderk;2026-06-08 15:41;312533;OC_ME-218;9866;INBSHIP209;Para enviar;9580;500;;;;;;
netsuite;vonderk;2026-06-08 15:41;304836;ME-215;9866;INBSHIP208;En tránsito;6750;1000;23/5/2026;;3/7/2026;;30/7/2026;
netsuite;vonderk;2026-06-08 15:41;304836;ME-215;9866;INBSHIP208;En tránsito;10569;100;23/5/2026;;3/7/2026;;30/7/2026;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;9286;240;;;;;;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;9990;450;;;;;;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;12299;500;;;;;;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;9284;400;;;;;;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;9781;200;;;;;;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;9285;300;;;;;;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;9778;1500;;;;;;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;9772;288;;;;;;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;9771;288;;;;;;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;9769;150;;;;;;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;9767;500;;;;;;
netsuite;vonderk;2026-06-08 15:41;312496;OC_ME-217;9866;INBSHIP207;Para enviar;9777;336;;;;;;
netsuite;vonderk;2026-06-08 15:41;304821;ME-214;9866;INBSHIP206;En tránsito;6868;400;13/6/2026;;25/7/2026;;21/8/2026;
netsuite;vonderk;2026-06-08 15:41;304821;ME-214;9866;INBSHIP206;En tránsito;10361;1500;13/6/2026;;25/7/2026;;21/8/2026;
netsuite;vonderk;2026-06-08 15:41;304821;ME-214;9866;INBSHIP206;En tránsito;10374;150;13/6/2026;;25/7/2026;;21/8/2026;
netsuite;vonderk;2026-06-08 15:41;304821;ME-214;9866;INBSHIP206;En tránsito;10392;60;13/6/2026;;25/7/2026;;21/8/2026;
netsuite;vonderk;2026-06-08 15:41;304821;ME-214;9866;INBSHIP206;En tránsito;8808;120;13/6/2026;;25/7/2026;;21/8/2026;
netsuite;vonderk;2026-06-08 15:41;304821;ME-214;9866;INBSHIP206;En tránsito;9613;60;13/6/2026;;25/7/2026;;21/8/2026;
netsuite;vonderk;2026-06-08 15:41;304821;ME-214;9866;INBSHIP206;En tránsito;8834;50;13/6/2026;;25/7/2026;;21/8/2026;
netsuite;vonderk;2026-06-08 15:41;304821;ME-214;9866;INBSHIP206;En tránsito;9850;120;13/6/2026;;25/7/2026;;21/8/2026;
netsuite;vonderk;2026-06-08 15:41;304821;ME-214;9866;INBSHIP206;En tránsito;11207;800;13/6/2026;;25/7/2026;;21/8/2026;
netsuite;vonderk;2026-06-08 15:41;304821;ME-214;9866;INBSHIP206;En tránsito;10262;50;13/6/2026;;25/7/2026;;21/8/2026;
netsuite;vonderk;2026-06-08 15:41;304821;ME-214;9866;INBSHIP206;En tránsito;8999;350;13/6/2026;;25/7/2026;;21/8/2026;
netsuite;vonderk;2026-06-08 15:41;304606;ME-213;9866;INBSHIP205;En tránsito;10300;150;18/5/2026;;27/5/2026;27/5/2026;30/5/2026;
netsuite;vonderk;2026-06-08 15:41;304489;ME-212;9866;INBSHIP204;En tránsito;9795;22000;18/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;304489;ME-212;9866;INBSHIP204;En tránsito;9796;22002;18/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;304489;ME-212;9866;INBSHIP204;En tránsito;8815;22002;18/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;304489;ME-212;9866;INBSHIP204;En tránsito;10107;900;18/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;304489;ME-212;9866;INBSHIP204;En tránsito;8876;1500;18/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;304489;ME-212;9866;INBSHIP204;En tránsito;9798;10000;18/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;304489;ME-212;9866;INBSHIP204;En tránsito;10109;800;18/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;304489;ME-212;9866;INBSHIP204;En tránsito;12317;1500;18/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;304489;ME-212;9866;INBSHIP204;En tránsito;9797;10000;18/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;304489;ME-212;9866;INBSHIP204;En tránsito;12018;900;18/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;298498;ME-211;9866;INBSHIP201;En tránsito;9669;650;30/5/2026;;24/7/2026;;20/8/2026;
netsuite;vonderk;2026-06-08 15:41;298498;ME-211;9866;INBSHIP201;En tránsito;9672;1300;30/5/2026;;24/7/2026;;20/8/2026;
netsuite;vonderk;2026-06-08 15:41;298498;ME-211;9866;INBSHIP201;En tránsito;9674;1500;30/5/2026;;24/7/2026;;20/8/2026;
netsuite;vonderk;2026-06-08 15:41;298498;ME-211;9866;INBSHIP201;En tránsito;11112;504;30/5/2026;;24/7/2026;;20/8/2026;
netsuite;vonderk;2026-06-08 15:41;298498;ME-211;9866;INBSHIP201;En tránsito;11111;500;30/5/2026;;24/7/2026;;20/8/2026;
netsuite;vonderk;2026-06-08 15:41;298498;ME-211;9866;INBSHIP201;En tránsito;9291;500;30/5/2026;;24/7/2026;;20/8/2026;
netsuite;vonderk;2026-06-08 15:41;298498;ME-211;9866;INBSHIP201;En tránsito;10146;500;30/5/2026;;24/7/2026;;20/8/2026;
netsuite;vonderk;2026-06-08 15:41;298498;ME-211;9866;INBSHIP201;En tránsito;10145;1500;30/5/2026;;24/7/2026;;20/8/2026;
netsuite;vonderk;2026-06-08 15:41;298498;ME-211;9866;INBSHIP201;En tránsito;9670;1500;30/5/2026;;24/7/2026;;20/8/2026;
netsuite;vonderk;2026-06-08 15:41;298477;ME-210;9866;INBSHIP200;En tránsito;10260;4500;26/5/2026;;12/7/2026;;8/8/2026;
netsuite;vonderk;2026-06-08 15:41;298477;ME-210;9866;INBSHIP200;En tránsito;10144;184;26/5/2026;;12/7/2026;;8/8/2026;
netsuite;vonderk;2026-06-08 15:41;298477;ME-210;9866;INBSHIP200;En tránsito;9616;512;26/5/2026;;12/7/2026;;8/8/2026;
netsuite;vonderk;2026-06-08 15:41;298477;ME-210;9866;INBSHIP200;En tránsito;11920;312;26/5/2026;;12/7/2026;;8/8/2026;
netsuite;vonderk;2026-06-08 15:41;298477;ME-210;9866;INBSHIP200;En tránsito;11110;1512;26/5/2026;;12/7/2026;;8/8/2026;
netsuite;vonderk;2026-06-08 15:41;298477;ME-210;9866;INBSHIP200;En tránsito;10412;1000;26/5/2026;;12/7/2026;;8/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;10204;4500;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;10407;3500;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;10406;2500;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;10402;90;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;10405;400;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;9565;200;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;9869;40;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;9879;300;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;9880;350;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;10421;450;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;10205;1700;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;10207;400;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;10208;650;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;10217;1000;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;295630;ME-208;9866;INBSHIP199;En tránsito;10364;1200;30/5/2026;;18/7/2026;;14/8/2026;
netsuite;vonderk;2026-06-08 15:41;294358;ME-207;9866;INBSHIP198;En tránsito;9516;1200;9/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294358;ME-207;9866;INBSHIP198;En tránsito;9511;2700;9/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294358;ME-207;9866;INBSHIP198;En tránsito;9540;3000;9/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294358;ME-207;9866;INBSHIP198;En tránsito;9501;2200;9/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294358;ME-207;9866;INBSHIP198;En tránsito;10278;100;9/5/2026;;28/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294353;ME-206;9866;INBSHIP197;En tránsito;9765;800;18/5/2026;;27/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294353;ME-206;9866;INBSHIP197;En tránsito;9770;300;18/5/2026;;27/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294353;ME-206;9866;INBSHIP197;En tránsito;9771;360;18/5/2026;;27/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294353;ME-206;9866;INBSHIP197;En tránsito;9774;216;18/5/2026;;27/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294353;ME-206;9866;INBSHIP197;En tránsito;9781;300;18/5/2026;;27/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294353;ME-206;9866;INBSHIP197;En tránsito;12299;300;18/5/2026;;27/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294353;ME-206;9866;INBSHIP197;En tránsito;9285;300;18/5/2026;;27/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294353;ME-206;9866;INBSHIP197;En tránsito;9286;320;18/5/2026;;27/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;294353;ME-206;9866;INBSHIP197;En tránsito;9287;320;18/5/2026;;27/6/2026;;25/7/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;11906;300;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;12569;100;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;12533;50;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;11943;400;30/5/2026;;10/6/2026;;6/8/2026;
netsuite;vonderk;2026-06-08 15:41;293848;ME-205;9866;INBSHIP196;En tránsito;12530;50;30/5/2026;;10/6/2026;;6/8/2026;
